2020-12-02 21:32:23,2020-12-02 21:40:31,1,1.14,230,48,11.8
2020-12-02 21:28:11,2020-12-02 21:34:43,1,1.68,161,236,13.56
2020-12-02 22:06:25,2020-12-02 22:13:44,1,1.49,140,142,13.56
2020-12-02 23:51:56,2020-12-03 00:05:11,1,.00,163,151,12.8
2020-12-03 05:40:19,2020-12-03 05:57:59,1,5.10,140,68,26.75
2020-12-03 06:49:33,2020-12-03 06:56:34,1,2.37,233,236,11.8
2020-12-03 07:52:11,2020-12-03 08:21:59,1,13.20,141,228,52
2020-12-03 07:31:53,2020-12-03 07:45:18,1,1.91,48,137,15.8
2020-12-03 08:53:09,2020-12-03 09:07:58,1,2.40,233,68,18.5
2020-12-03 08:25:19,2020-12-03 08:29:20,4,.76,236,236,9.3
2020-12-03 08:55:02,2020-12-03 08:57:36,1,.65,43,264,8.76
2020-12-03 09:51:33,2020-12-03 09:55:21,1,.50,170,164,8.55
2020-12-03 09:02:16,2020-12-03 09:05:00,6,.60,238,238,7.3
2020-12-03 09:26:06,2020-12-03 09:29:01,1,.40,137,170,9.3
2020-12-03 10:25:54,2020-12-03 10:33:17,4,1.84,68,231,13.3
2020-12-03 10:33:12,2020-12-03 10:39:25,2,.56,236,236,11.44
2020-12-03 10:54:10,2020-12-03 11:10:22,1,1.50,236,140,14.3
2020-12-03 11:48:16,2020-12-03 11:55:50,1,.87,236,237,11.8
2020-12-03 11:02:06,2020-12-03 11:18:17,3,4.76,140,211,23
2020-12-03 11:54:34,2020-12-03 11:59:07,1,.73,141,237,9.96
2020-12-03 12:14:01,2020-12-03 12:18:59,0,1.30,114,107,12.05
2020-12-03 12:13:42,2020-12-03 12:35:59,6,13.69,132,91,38.8
2020-12-03 12:17:02,2020-12-03 12:26:18,2,1.07,48,170,10.8
2020-12-03 12:00:08,2020-12-03 12:03:33,1,.90,141,229,9.3
2020-12-03 13:50:52,2020-12-03 14:04:01,2,1.98,142,238,13.3
2020-12-03 13:40:58,2020-12-03 14:06:45,1,4.90,186,166,27.85
2020-12-03 13:31:58,2020-12-03 13:55:40,1,4.38,137,239,21.8
2020-12-03 14:03:28,2020-12-03 14:03:43,1,.00,264,264,2.95
2020-12-03 14:43:42,2020-12-03 14:50:08,2,1.15,141,263,12.09
2020-12-03 14:29:36,2020-12-03 14:45:18,1,4.94,239,42,21.3
2020-12-03 14:02:29,2020-12-03 14:05:09,1,.50,170,170,8.75
2020-12-03 14:16:51,2020-12-03 14:21:55,1,.75,140,263,9.96
2020-12-03 15:18:06,2020-12-03 15:37:57,1,3.15,237,249,20.3
2020-12-03 16:00:49,2020-12-03 16:29:35,5,3.49,140,151,27.88
2020-12-03 15:02:43,2020-12-03 15:18:07,1,1.67,140,75,15.3
2020-12-03 15:43:31,2020-12-03 15:54:46,1,2.10,79,162,12.8
2020-12-03 16:15:45,2020-12-03 16:19:20,5,.62,263,262,10.56
2020-12-03 16:19:38,2020-12-03 16:25:38,1,1.38,43,142,12.96
2020-12-03 16:08:30,2020-12-03 16:20:55,1,2.00,170,68,14.3
2020-12-03 16:04:26,2020-12-03 16:09:24,1,.50,236,236,12.05
2020-12-03 17:11:18,2020-12-03 17:36:14,3,3.64,90,236,21.8
2020-12-03 17:59:04,2020-12-03 18:10:41,1,1.60,142,237,15.18
2020-12-03 17:42:33,2020-12-03 17:45:02,1,.27,237,237,10.14
2020-12-03 17:00:08,2020-12-03 17:09:19,1,1.31,162,90,14.16
2020-12-03 18:37:08,2020-12-03 18:44:22,1,1.40,100,50,13.56
2020-12-03 18:38:15,2020-12-03 18:56:58,1,2.71,90,237,18.8
2020-12-03 18:01:22,2020-12-03 18:11:09,2,1.80,161,113,15.35
2020-12-03 19:37:15,2020-12-03 19:51:20,1,1.90,140,43,17.75
2020-12-03 19:09:19,2020-12-03 19:17:50,1,1.50,142,48,13.8
2020-12-03 19:30:28,2020-12-03 19:34:38,1,.74,114,249,12.09
2020-12-03 20:09:45,2020-12-03 20:15:39,1,2.05,229,236,13.3
2020-12-03 20:39:43,2020-12-03 20:55:33,1,2.58,140,170,19.56
2020-12-03 21:25:01,2020-12-03 21:28:40,0,.90,161,100,8.8
2020-12-03 21:40:31,2020-12-03 21:46:49,1,1.40,237,236,10.8
2020-12-03 22:09:38,2020-12-03 22:15:45,1,1.48,237,143,13.39
2020-12-03 21:40:08,2020-12-03 22:05:12,1,.00,100,246,18.96
2020-12-03 23:41:12,2020-12-04 00:06:58,1,14.56,215,116,70.7
2020-12-04 03:34:15,2020-12-04 03:41:26,1,1.46,211,87,12.96
2020-12-04 06:33:00,2020-12-04 06:45:05,1,4.86,262,249,20
2020-12-04 07:58:13,2020-12-04 08:11:29,1,2.00,236,141,15.8
2020-12-04 07:25:45,2020-12-04 07:29:04,1,1.00,249,125,8.3
2020-12-04 08:42:28,2020-12-04 09:00:22,5,2.48,107,237,20.16
2020-12-04 08:30:36,2020-12-04 08:55:39,1,16.46,23,29,71.3
2020-12-04 09:04:46,2020-12-04 09:14:15,1,1.57,164,48,14.16
2020-12-04 09:48:34,2020-12-04 09:54:05,1,1.00,90,107,11.8
2020-12-04 09:57:13,2020-12-04 10:09:26,1,2.26,162,75,12.8
2020-12-04 10:11:07,2020-12-04 10:19:13,1,1.67,239,50,12.96
2020-12-04 09:55:40,2020-12-04 10:01:48,1,1.26,264,264,9.8
2020-12-04 10:04:54,2020-12-04 10:12:29,1,.90,236,75,12.35
2020-12-04 11:05:14,2020-12-04 11:30:10,5,2.91,162,43,19.8
2020-12-04 11:36:19,2020-12-04 11:40:28,1,.25,161,161,10.14
2020-12-04 11:18:21,2020-12-04 11:28:36,1,1.25,140,229,14.69
2020-12-04 12:59:02,2020-12-04 13:03:56,2,.50,161,161,9.95
2020-12-04 12:09:26,2020-12-04 12:19:50,1,1.31,164,137,11.3
2020-12-04 12:35:32,2020-12-04 12:41:29,1,.77,236,237,10.56
2020-12-04 12:07:16,2020-12-04 12:13:47,0,1.30,236,262,11.27
2020-12-04 13:21:49,2020-12-04 13:48:06,1,7.10,114,166,35.35
2020-12-04 13:41:08,2020-12-04 14:14:40,1,5.34,68,7,32.76
2020-12-04 13:34:44,2020-12-04 13:38:36,1,.78,237,263,9.8
2020-12-04 13:10:54,2020-12-04 13:25:50,1,2.25,262,163,15.8
2020-12-04 14:47:58,2020-12-04 15:02:59,1,1.70,151,75,11.8
2020-12-04 14:53:38,2020-12-04 14:58:27,1,.81,152,166,5.8
2020-12-04 14:34:05,2020-12-04 14:44:01,1,1.70,162,236,14.3
2020-12-04 14:32:06,2020-12-04 14:42:53,1,1.44,142,68,14.16
2020-12-04 15:47:30,2020-12-04 16:00:13,1,1.50,140,263,12.8
2020-12-04 15:49:00,2020-12-04 16:15:29,2,3.40,236,107,23.3
2020-12-04 15:15:56,2020-12-04 15:20:22,4,.76,263,262,8.3
2020-12-04 15:27:06,2020-12-04 15:36:05,2,.88,236,237,12.36
2020-12-04 16:14:17,2020-12-04 16:28:39,1,1.93,237,48,16.3
2020-12-04 16:26:05,2020-12-04 16:28:29,1,.55,125,249,9.96
2020-12-04 16:01:24,2020-12-04 16:08:58,1,1.16,143,230,13.56
2020-12-04 16:22:41,2020-12-04 16:39:22,1,2.20,238,262,16.3
2020-12-04 17:01:16,2020-12-04 17:03:18,1,.41,50,50,9.3
2020-12-04 17:10:22,2020-12-04 17:21:06,2,1.50,100,229,15.36
2020-12-04 17:08:15,2020-12-04 17:16:34,1,.66,233,170,12.42
2020-12-04 17:17:12,2020-12-04 17:31:13,1,1.90,161,263,15.8
2020-12-04 18:24:30,2020-12-04 18:55:39,1,6.20,143,243,45.8
2020-12-04 18:38:22,2020-12-04 18:45:25,1,1.54,137,79,11.3
2020-12-04 18:26:59,2020-12-04 18:45:58,1,3.40,48,114,22.55
2020-12-04 18:41:17,2020-12-04 18:47:36,1,1.40,137,79,12.8
2020-12-04 19:06:38,2020-12-04 19:39:42,1,12.07,79,127,51
2020-12-04 19:13:47,2020-12-04 19:23:09,0,1.90,236,162,14.3
2020-12-04 19:14:27,2020-12-04 19:17:33,1,.50,90,68,8.8
2020-12-04 20:39:14,2020-12-04 20:45:08,1,.84,236,140,11.16
2020-12-04 20:38:25,2020-12-04 20:47:51,1,1.60,249,231,15.3
2020-12-04 21:55:19,2020-12-04 22:27:52,1,13.82,164,241,44.8
2020-12-04 21:29:58,2020-12-04 21:30:36,1,.00,168,168,25.3
